🚀 PumpChain RPC Server Running!

📡 RPC Endpoint:
   HTTP: http://localhost:8899
   WS:   ws://localhost:8900

💡 Connect your wallet with these settings:
   Network Name: PumpChain
   RPC URL: http://localhost:8899
   Chain ID: 1397
   Currency Symbol: PUMP

⚠️  This is a local development network.
   For production, deploy with Docker Compose or Kubernetes.
⛏️  Slot: 52,345,690, Block: 48,912,355, Epoch: 452
⛏️  Slot: 52,345,700, Block: 48,912,360, Epoch: 452
⛏️  Slot: 52,345,710, Block: 48,912,365, Epoch: 452
⛏️  Slot: 52,345,720, Block: 48,912,370, Epoch: 452
⛏️  Slot: 52,345,730, Block: 48,912,375, Epoch: 452
⛏️  Slot: 52,345,740, Block: 48,912,381, Epoch: 452
⛏️  Slot: 52,345,750, Block: 48,912,386, Epoch: 452
⛏️  Slot: 52,345,760, Block: 48,912,391, Epoch: 452
⛏️  Slot: 52,345,770, Block: 48,912,396, Epoch: 452
⛏️  Slot: 52,345,780, Block: 48,912,401, Epoch: 452
⛏️  Slot: 52,345,790, Block: 48,912,406, Epoch: 452
⛏️  Slot: 52,345,800, Block: 48,912,411, Epoch: 452
⛏️  Slot: 52,345,810, Block: 48,912,416, Epoch: 452
⛏️  Slot: 52,345,820, Block: 48,912,421, Epoch: 452
⛏️  Slot: 52,345,830, Block: 48,912,426, Epoch: 452
⛏️  Slot: 52,345,840, Block: 48,912,431, Epoch: 452
⛏️  Slot: 52,345,850, Block: 48,912,436, Epoch: 452
⛏️  Slot: 52,345,860, Block: 48,912,441, Epoch: 452
⛏️  Slot: 52,345,870, Block: 48,912,446, Epoch: 452
⛏️  Slot: 52,345,880, Block: 48,912,451, Epoch: 452
⛏️  Slot: 52,345,890, Block: 48,912,456, Epoch: 452
⛏️  Slot: 52,345,900, Block: 48,912,461, Epoch: 452
⛏️  Slot: 52,345,910, Block: 48,912,466, Epoch: 452
⛏️  Slot: 52,345,920, Block: 48,912,471, Epoch: 452
⛏️  Slot: 52,345,930, Block: 48,912,476, Epoch: 452
⛏️  Slot: 52,345,940, Block: 48,912,481, Epoch: 452
⛏️  Slot: 52,345,950, Block: 48,912,486, Epoch: 452
⛏️  Slot: 52,345,960, Block: 48,912,491, Epoch: 452
⛏️  Slot: 52,345,970, Block: 48,912,496, Epoch: 452
⛏️  Slot: 52,345,980, Block: 48,912,501, Epoch: 452
⛏️  Slot: 52,345,990, Block: 48,912,506, Epoch: 452
⛏️  Slot: 52,346,000, Block: 48,912,511, Epoch: 452
⛏️  Slot: 52,346,010, Block: 48,912,516, Epoch: 452
⛏️  Slot: 52,346,020, Block: 48,912,521, Epoch: 452
⛏️  Slot: 52,346,030, Block: 48,912,526, Epoch: 452
⛏️  Slot: 52,346,040, Block: 48,912,531, Epoch: 452
⛏️  Slot: 52,346,050, Block: 48,912,536, Epoch: 452
⛏️  Slot: 52,346,060, Block: 48,912,541, Epoch: 452
⛏️  Slot: 52,346,070, Block: 48,912,546, Epoch: 452
⛏️  Slot: 52,346,080, Block: 48,912,551, Epoch: 452
⛏️  Slot: 52,346,090, Block: 48,912,556, Epoch: 452
⛏️  Slot: 52,346,100, Block: 48,912,561, Epoch: 452
⛏️  Slot: 52,346,110, Block: 48,912,566, Epoch: 452
⛏️  Slot: 52,346,120, Block: 48,912,571, Epoch: 452
⛏️  Slot: 52,346,130, Block: 48,912,576, Epoch: 452
⛏️  Slot: 52,346,140, Block: 48,912,581, Epoch: 452
⛏️  Slot: 52,346,150, Block: 48,912,586, Epoch: 452
⛏️  Slot: 52,346,160, Block: 48,912,591, Epoch: 452
⛏️  Slot: 52,346,170, Block: 48,912,596, Epoch: 452
⛏️  Slot: 52,346,180, Block: 48,912,601, Epoch: 452
⛏️  Slot: 52,346,190, Block: 48,912,606, Epoch: 452
⛏️  Slot: 52,346,200, Block: 48,912,611, Epoch: 452
⛏️  Slot: 52,346,210, Block: 48,912,616, Epoch: 452
⛏️  Slot: 52,346,220, Block: 48,912,621, Epoch: 452
